Ticker,HitRate,AvgReturn,TotalReturn,MaxDrawdown
CEG,0.30833333333333335,0.002612388151356464,0.624360768174195,0.15830641302942314
CZR,0.26322751322751325,0.002147128648862685,1.6210821298913272,0.26995582039300636
NCLH,0.2261904761904762,0.0019131563282034762,1.4444330277936246,0.4175280814786331
TSLA,0.28174603174603174,0.0014350768861032626,1.0834830490079632,0.3896802311982823
CRWD,0.28703703703703703,0.0013927595123842033,1.0515334318500735,0.4796833391423527
EQT,0.24603174603174602,0.0013466122500731504,1.0166922488052286,0.288258662077334
XYZ,0.25132275132275134,0.0012559775128193479,0.9482630221786077,0.3090715040761657
SMCI,0.2791005291005291,0.0012011336959296256,0.9068559404268673,0.24393095241692064
MRNA,0.23412698412698413,0.0011482847742012433,0.8669550045219387,0.4317741050770579
APA,0.26587301587301587,0.0010970356207425154,0.8282618936605991,0.4391073085277217
FANG,0.2724867724867725,0.0010969404487533127,0.8281900388087512,0.42654922656553484
TRGP,0.2804232804232804,0.001058158771063425,0.7989098721528859,0.4401378012975923
VTR,0.2698412698412698,0.0010199999873497152,0.770099990449035,0.34849014399415024
OXY,0.23677248677248677,0.0009517084015244846,0.7185398431509858,0.37930903550412265
UAL,0.23015873015873015,0.0009499174342099822,0.7171876628285365,0.3246917610401133
STZ,0.28703703703703703,0.0009305767114756998,0.7025854171641533,0.10052172386754898
FSLR,0.2552910052910053,0.0009189738622259466,0.6938252659805897,0.24477529069613563
TTD,0.2804232804232804,0.0008876400612434613,0.6701682462388133,0.2837900259054279
DELL,0.24206349206349206,0.0008580366603643095,0.6478176785750537,0.1857839990407415
DVN,0.25925925925925924,0.0008453659459207605,0.6382512891701742,0.21994706136761172
SPG,0.2619047619047619,0.0008411400049847843,0.6350607037635121,0.24578596441449985
PFG,0.2671957671957672,0.0008408245772052445,0.6348225557899596,0.16046387960455988
IRM,0.2751322751322751,0.0008307673078971563,0.627229317462353,0.12938516264581046
PANW,0.27116402116402116,0.0008230274315217637,0.6213857107989316,0.17255486276173515
PARA,0.2526455026455027,0.0007984237904447174,0.6028099617857616,0.5545957745476041
RCL,0.21296296296296297,0.0007851293163887399,0.5927726338734987,0.24824760458137196
AXON,0.28835978835978837,0.0007845784780838327,0.5923567509532937,0.2581363728841936
AME,0.2962962962962963,0.0007678727337433024,0.5797439139761933,0.1166450050251367
BKR,0.25132275132275134,0.0007454709146395367,0.5628305405528502,0.335565954961078
CAT,0.2777777777777778,0.0007319580099607675,0.5526282975203795,0.12152639092747097
CRL,0.2526455026455027,0.0007285969949122814,0.5500907311587725,0.15155914168744544
EBAY,0.2552910052910053,0.0007207974164534838,0.5442020494223803,0.19621814127651993
CI,0.2605820105820106,0.0007007002461118134,0.5290286858144191,0.14567851419624034
WYNN,0.21031746031746032,0.0006869152321426702,0.518621000267716,0.23911156383623078
DECK,0.2777777777777778,0.0006841032802024075,0.5164979765528177,0.41272843053156083
PAYC,0.2751322751322751,0.0006701377501997475,0.5059540014008094,0.2894685408995756
WAB,0.26322751322751325,0.0006642667667768237,0.5015214089165019,0.10295986237260751
GEHC,0.18181818181818182,0.000655178448199,0.00655178448199,0.0
URI,0.2791005291005291,0.0006434537161407599,0.4858075556862737,0.1591248133208788
MGM,0.23148148148148148,0.000636287362579279,0.48039695874735566,0.30725841216515654
HAL,0.23412698412698413,0.0006356631674356923,0.47992569141394775,0.2893602447282471
AJG,0.30423280423280424,0.0006320749707265618,0.47721660289855417,0.13222877138697964
PM,0.2896825396825397,0.0006294662717370906,0.4752470351615034,0.07191541541037091
WELL,0.24867724867724866,0.0006249878604477473,0.4718658346380492,0.36788550543311066
FFIV,0.24867724867724866,0.0006189377906523921,0.46729803194255604,0.225232695372179
AIG,0.26587301587301587,0.0006092947938820659,0.4600175693809597,0.3156050631164627
TGT,0.27380952380952384,0.0006090891248943856,0.4598622892952611,0.1994089934883081
HLT,0.25132275132275134,0.0006001136847625255,0.4530858319957068,0.14601186234675284
FTNT,0.2896825396825397,0.0005955585130414792,0.44964667734631686,0.26191704417843037
HII,0.25925925925925924,0.0005926639861585277,0.4474613095496884,0.07420956313220689
XOM,0.27116402116402116,0.0005904836986748219,0.44581519249949053,0.2055476872320876
WRB,0.27116402116402116,0.0005855298687023933,0.44207505087030696,0.13667201836302945
LH,0.2791005291005291,0.000584828690853589,0.4415456615944597,0.1649433335661129
COP,0.2605820105820106,0.0005840424648144176,0.4409520609348853,0.24215926088499098
IT,0.2791005291005291,0.0005688167552418133,0.429456650207569,0.2905111178905396
TAP,0.2804232804232804,0.000560786008463883,0.4233934363902317,0.14572354219700034
ADM,0.28835978835978837,0.00055718101480434,0.42067166617727664,0.1562357589909934
COO,0.2619047619047619,0.0005567946788592325,0.42037998253872055,0.10560648868541711
UBER,0.23544973544973544,0.0005486111024472727,0.41420138234769094,0.3896344540226216
CVS,0.25396825396825395,0.0005466545988068242,0.41272422209915227,0.17300201094997691
MOS,0.26851851851851855,0.0005422107960471065,0.4093691510155654,0.4547747521161977
ENPH,0.29365079365079366,0.0005402218977359453,0.4078675327906387,0.65262189321447
NRG,0.26322751322751325,0.0005368542661669713,0.40532497095606335,0.12913101089792217
LYB,0.2526455026455027,0.0005331746832951118,0.40254688588780935,0.22283258996723038
WY,0.26851851851851855,0.0005331552919780655,0.40253224544343946,0.26545599130064823
KR,0.2698412698412698,0.0005313189461634076,0.40114580435337277,0.1593705763918091
O,0.2857142857142857,0.0005239354548369709,0.39557126840191303,0.16611397040933196
TT,0.28835978835978837,0.0005112634282071939,0.3860038882964314,0.24552661015098362
