Ticker,HitRateA,AvgReturnA,TotalReturnA,MaxDrawdownA,HitRateB,AvgReturnB,TotalReturnB,MaxDrawdownB,BestAvgReturn,WinningSignal
MRNA,0.23412698412698413,0.0011482847742012433,0.8669550045219387,0.4317741050770579,0.24338624338624337,0.003274567694398558,2.4722986092709114,0.48395580100373103,0.003274567694398558,MeanReversion
CEG,0.30833333333333335,0.002612388151356464,0.624360768174195,0.15830641302942314,0.20833333333333334,0.00046869929955055005,0.11201913259258146,0.1391542383237391,0.002612388151356464,Momentum
CZR,0.26322751322751325,0.002147128648862685,1.6210821298913272,0.26995582039300636,0.25396825396825395,-0.0002318532971771949,-0.17504923936878214,0.6883556635440479,0.002147128648862685,Momentum
NCLH,0.2261904761904762,0.0019131563282034762,1.4444330277936246,0.4175280814786331,0.2724867724867725,-0.0001588097583496407,-0.11990136755397873,0.7962407109214673,0.0019131563282034762,Momentum
BBWI,0.2275132275132275,7.229173248892856e-05,0.05458025802914107,0.4034286502312713,0.23015873015873015,0.0017682832841032683,1.3350538794979676,0.4316995434883226,0.0017682832841032683,MeanReversion
AMP,0.26322751322751325,0.00020930427340234485,0.15802472641877036,0.30918113199213343,0.21031746031746032,0.0015569859583466324,1.1755243985517074,0.2182411385665333,0.0015569859583466324,MeanReversion
ENPH,0.29365079365079366,0.0005402218977359453,0.4078675327906387,0.65262189321447,0.21428571428571427,0.0015457879221740674,1.1670698812414209,0.40680029158479125,0.0015457879221740674,MeanReversion
TSLA,0.28174603174603174,0.0014350768861032626,1.0834830490079632,0.3896802311982823,0.2156084656084656,-0.00011239717188155637,-0.08485986477057506,0.8023331897113262,0.0014350768861032626,Momentum
CRWD,0.28703703703703703,0.0013927595123842033,1.0515334318500735,0.4796833391423527,0.24603174603174602,-0.000877970058364932,-0.6628673940655236,0.7967062505252167,0.0013927595123842033,Momentum
META,0.25396825396825395,-0.00043928369986190546,-0.3316591933957386,0.5983160490327233,0.23412698412698413,0.001361691475081453,1.028077063686497,0.1515444358830175,0.001361691475081453,MeanReversion
EQT,0.24603174603174602,0.0013466122500731504,1.0166922488052286,0.288258662077334,0.24603174603174602,-0.00023703279588438512,-0.17895976089271076,0.4981821361060639,0.0013466122500731504,Momentum
GEHC,0.18181818181818182,0.000655178448199,0.00655178448199,0.0,0.18181818181818182,0.00134364806569514,0.0134364806569514,0.0,0.00134364806569514,MeanReversion
MPWR,0.2671957671957672,-0.0007060489811546132,-0.533066980771733,0.5624351630924348,0.20767195767195767,0.0013318353080407383,1.0055356575707575,0.2032371984383896,0.0013318353080407383,MeanReversion
MGM,0.23148148148148148,0.000636287362579279,0.48039695874735566,0.30725841216515654,0.2447089947089947,0.0013027713667229193,0.9835923818758041,0.35988017082652773,0.0013027713667229193,MeanReversion
XYZ,0.25132275132275134,0.0012559775128193479,0.9482630221786077,0.3090715040761657,0.2619047619047619,0.0004313151240420246,0.32564291865172856,0.7215495588276704,0.0012559775128193479,Momentum
HCA,0.23941798941798942,-2.0653032805344426e-05,-0.015593039768035041,0.29264966884488997,0.22354497354497355,0.0012287622713887622,0.9277155148985154,0.2898024656342198,0.0012287622713887622,MeanReversion
SMCI,0.2791005291005291,0.0012011336959296256,0.9068559404268673,0.24393095241692064,0.20767195767195767,0.0004125595742456211,0.3114824785554439,0.3275828756615306,0.0012011336959296256,Momentum
MSI,0.26322751322751325,0.00031638145517350654,0.23886799865599742,0.21742585159568623,0.18915343915343916,0.001136828673294048,0.8583056483370062,0.1208966396201639,0.001136828673294048,MeanReversion
PNR,0.2698412698412698,0.00015470620194338642,0.11680318246725674,0.35146181199389553,0.20899470899470898,0.0011170167368199113,0.843347636299033,0.11822947266862469,0.0011170167368199113,MeanReversion
APA,0.26587301587301587,0.0010970356207425154,0.8282618936605991,0.4391073085277217,0.23941798941798942,-0.00021283915822159833,-0.16069356445730673,0.7178934372607851,0.0010970356207425154,Momentum
FANG,0.2724867724867725,0.0010969404487533127,0.8281900388087512,0.42654922656553484,0.21693121693121692,-0.0009736990028373683,-0.7351427471422131,1.1896422387222911,0.0010969404487533127,Momentum
TXN,0.24735449735449735,-0.0005437748282092745,-0.4105499952980023,0.45650278761670754,0.20105820105820105,0.0010964311845719388,0.8278055443518137,0.14857947096216628,0.0010964311845719388,MeanReversion
TRGP,0.2804232804232804,0.001058158771063425,0.7989098721528859,0.4401378012975923,0.2037037037037037,-0.00036242942947699335,-0.27363421925513,0.9823285347700136,0.001058158771063425,Momentum
FCX,0.23412698412698413,0.00034350725279773566,0.2593479758622904,0.41321399526142716,0.22883597883597884,0.0010389268062481068,0.7843897387173207,0.4520962624047392,0.0010389268062481068,MeanReversion
EXE,0.27044025157232704,0.00030133429472897674,0.14343512429099292,0.23586583497744423,0.20545073375262055,0.0010378758785261418,0.49402891817844347,0.10657335149563074,0.0010378758785261418,MeanReversion
COR,0.2830687830687831,-0.00019474179663292557,-0.1470300564578588,0.27173090196733085,0.1931216931216931,0.0010320624243752355,0.7792071304033028,0.07299323167823946,0.0010320624243752355,MeanReversion
VTR,0.2698412698412698,0.0010199999873497152,0.770099990449035,0.34849014399415024,0.22883597883597884,-0.0007285213091071111,-0.5500335883758689,0.6631716012509247,0.0010199999873497152,Momentum
NOC,0.2552910052910053,-0.0003764805926567753,-0.28424284745586537,0.3378410351711534,0.2156084656084656,0.0009942827893502145,0.7506835059594119,0.10447700503108101,0.0009942827893502145,MeanReversion
