Ticker,AvgReturn,Volatility,SharpeRatio,MaxDrawdown
CEG,0.0031109605315676565,0.028720959310402246,0.10831673475617226,12.730445861816406
CARR,0.0019891482891724274,0.02165589820970506,0.09185249532993249,22.521625518798828
PWR,0.002075448353482542,0.02391991750115187,0.08676653476679418,29.987609863281264
EXE,0.002276804944697286,0.026423380675918,0.08616629993800691,24.667251586914062
MRNA,0.004371614852161682,0.05101884240544886,0.08568628071605931,367.34000396728516
ENPH,0.0041556055119106716,0.04850855916026373,0.08566746949092599,147.76998901367188
MCK,0.0015138656605795844,0.01805870642160135,0.0838302381818854,52.835670471191406
ABBV,0.0012396485178712941,0.015133491764650947,0.08191424273721713,33.64927673339842
EQT,0.0032168537039229377,0.03954972030216338,0.08133695205290681,17.25765037536622
LLY,0.0015816909815296303,0.019881259960525987,0.0795568784206866,49.15010070800781
DE,0.0016687624770334324,0.021517498647657358,0.0775537391384994,141.7650756835938
AZO,0.0013268189653811142,0.017400544397685958,0.07625157782750543,482.3499755859375
STLD,0.00218175084491124,0.02892384401387516,0.07543087439776762,27.087257385253906
TSCO,0.0014805560719858288,0.020030842297350332,0.07391381999855672,12.48019790649414
MOH,0.0016088438617308876,0.022608539740770768,0.07116089230785673,95.77999877929688
TPL,0.002370590021406503,0.03343303522606721,0.07090561791285378,235.78509521484375
COR,0.0012304040407058803,0.017423205539764758,0.07061869515903632,28.541336059570312
ADM,0.0012655615801912062,0.018075296608559246,0.0700160892293143,23.656417846679688
ORLY,0.0011571410072224921,0.016935786387546694,0.06832520089373392,11.419334411621094
NUE,0.001881175218550499,0.02766106257068073,0.06800806056324263,68.26324462890625
AJG,0.001100148181688715,0.016180230530920426,0.06799335643496127,38.062492370605455
FCX,0.002385958398363243,0.03512655434874211,0.06792463543890649,25.24638557434082
DVN,0.002669994147730905,0.040252177996665674,0.06633166900812365,22.121158599853516
UNH,0.0011410902884669246,0.017434360103257183,0.06545065501163647,100.691650390625
SMCI,0.002037028839540467,0.03130181984334905,0.0650770098906339,2.2219996452331543
TRGP,0.002225109441421467,0.03486437154340504,0.06382187152438058,31.014885902404785
FSLR,0.0020396305967551507,0.0322673685730878,0.06321031701532301,59.73999786376953
MPC,0.0018355206606742549,0.02938736094345324,0.06245952687640577,36.742634773254395
REGN,0.0012791190426552728,0.020624464976921355,0.06201950179491196,210.57730102539062
GPC,0.0011622789556933989,0.018780416048523752,0.061887817218232534,41.815425872802734
ALB,0.001980541844108061,0.03242791665331431,0.061075210759974574,106.88389587402344
URI,0.001760393041732136,0.02882807428634587,0.06106523190714576,152.32554626464844
CTVA,0.001281595496543105,0.021082080808765828,0.06079074964982696,11.840621948242188
ODFL,0.0012948065730375373,0.021466920921304734,0.060316361987084656,64.59235382080078
GIS,0.0008470166080362991,0.0141196453306227,0.05998851870586924,10.295734405517578
OTIS,0.0009751703891174592,0.016283320992674752,0.05988768443219607,26.04503631591797
BG,0.0012752910532109539,0.021373203975367905,0.0596677528872459,39.84193420410156
ELV,0.0012307532785644385,0.02065584105181709,0.059583789179873135,119.94992065429688
CDNS,0.0013986989593053967,0.023559206333447383,0.059369527967486804,56.699996948242216
TSLA,0.0024765490399608174,0.04195111579274259,0.059034163768041006,300.87000274658203
ON,0.002102613192702576,0.03584586810453557,0.05865705878766352,24.109996795654297
GWW,0.0010548653304066527,0.01801451056782996,0.05855642463528347,97.42959594726568
BLDR,0.001970046636286354,0.03394084262144823,0.058043539409402364,35.689998626708984
IT,0.0012946255724341973,0.022487723164696542,0.05757032683800683,115.6199951171875
SNPS,0.0013276231522811259,0.02306332647279695,0.05756425266090948,114.760009765625
WMB,0.0012310870525463165,0.0215558910939606,0.057111396934605735,9.19428539276123
AVGO,0.0012496353040729006,0.022164411121931994,0.05638026190717826,22.042022705078125
DECK,0.0015903078999395719,0.028514609350068408,0.055771688134165394,35.525001525878906
AMP,0.0013528524159372138,0.02426381030509239,0.05575597562487054,97.9829406738281
ANET,0.0013628255973054688,0.024461050875702432,0.05571410665186041,14.104999542236328
COP,0.0016351695233258366,0.029394029462311167,0.05562930817030173,35.70999145507811
KLAC,0.0016302065125185612,0.029474396184682373,0.05530924203854488,172.11242675781256
A,0.0010081811155053944,0.01828516542666116,0.05513655971826155,64.31062316894531
IRM,0.0011485679166476914,0.020892906646296713,0.05497406062699639,11.545848846435547
CF,0.001596801338969832,0.029101956370562083,0.05486920943174347,30.667747497558594
NVDA,0.001815875043679636,0.03319522195802775,0.05470290410998426,22.096961975097656
XOM,0.0012932203318732592,0.023658464778048626,0.05466205622408629,23.537080764770508
HSY,0.0007383582394402695,0.013564495351022976,0.05443315216180053,43.56945037841797
BBWI,0.0021089222718875473,0.0387783134585327,0.05438406376653558,48.06096076965332
MTD,0.0010838204345008044,0.020027429079354068,0.054116803020817894,618.4100341796875
PGR,0.0008872747134799495,0.016400968881331638,0.05409892061254306,16.085601806640625
CAT,0.0011220767582537721,0.02078353038570007,0.053988746735049754,71.67800903320312
CVX,0.0012109290133244448,0.022480060296197625,0.05386680450893926,44.247486114501946
SJM,0.0008099724719062007,0.015077415369883988,0.05372090985329357,20.121124267578125
MOS,0.001835947085203605,0.034602976785209585,0.05305748972407331,31.79438018798828
LOW,0.0010516819302559593,0.02017634429742194,0.05212450356481771,82.285400390625
KEYS,0.0010336377227708766,0.019857996146717065,0.052051461543956346,77.31999206542969
NDAQ,0.0008817740081730497,0.01695989421567998,0.0519917162783846,22.098545074462898
ETN,0.0010005655323868314,0.01930546229962259,0.05182810527186349,44.722259521484375
